Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-07-02 13:21:47,false,"Quebec Carrera","3.20","217","00:14:58","154","188","3.1","171","178","4:41","4:21","--","3","1.25","0.0","0.0","0.0","0.0","0.0","14:58","0:00","24.0","0:00","No","07:28.99","2","0.0"
Running,2020-06-25 14:30:00,false,"Quebec Carrera","3.11","191","00:13:34","145","155","2.4","173","178","4:21","3:55","10","10","1.33","0.0","0.0","0.0","0.0","0.0","13:34","0:00","24.0","0:00","No","06:43.11","2","0.0"
Running,2020-06-24 17:38:55,false,"Quebec Carrera","2.90","151","00:12:39","132","145","1.9","170","180","4:21","3:55","11","27","1.35","0.0","0.0","0.0","0.0","0.0","12:39","0:00","25.0","0:00","No","05:33.60","2","0.0"
Running,2020-06-23 09:54:44,false,"Quebec Carrera","5.58","518","00:45:57","135","161","2.4","138","201","8:14","5:08","135","101","0.87","0.0","0.0","0.0","0.0","0.0","45:57","0:00","27.0","0:00","No","10:01.25","4","0.0"
Running,2020-06-16 15:19:17,false,"Quebec Carrera","5.00","343","00:23:36","152","188","3.2","170","180","4:43","3:47","25","28","1.25","0.0","0.0","0.0","0.0","0.0","23:36","0:00","28.0","0:00","No","00:48.06","4","0.0"
Running,2020-06-15 16:00:18,true,"Quebec Carrera","5.60","283","00:22:05","144","175","2.6","176","188","3:56","3:19","21","15","1.45","0.0","0.0","0.0","0.0","0.0","22:05","0:00","27.0","0:00","No","02:56.05","6","0.0"
Running,2020-06-14 16:27:03,false,"Quebec Carrera","5.77","404","00:25:01","166","186","3.8","174","180","4:20","3:58","7","7","1.33","0.0","0.0","0.0","0.0","0.0","25:01","0:00","23.0","0:00","No","04:12.75","4","0.0"
Running,2020-06-11 10:28:27,false,"Quebec Carrera","10.00","646","00:45:56","152","173","3.7","174","181","4:36","4:00","40","38","1.25","0.0","0.0","0.0","0.0","0.0","45:56","0:00","20.0","0:00","No","01:22.40","7","0.0"
Running,2020-06-09 14:42:43,false,"Quebec Carrera","6.50","424","00:28:15","160","190","3.6","175","178","4:21","3:43","20","14","1.32","0.0","0.0","0.0","0.0","0.0","28:15","0:00","24.0","0:00","No","00:14.65","5","0.0"
Running,2020-06-07 16:11:56,false,"Quebec Carrera","5.00","340","00:21:34","167","189","3.6","174","180","4:19","3:58","21","15","1.33","0.0","0.0","0.0","0.0","0.0","21:34","0:00","23.0","0:00","No","00:06.11","5","0.0"
Running,2020-06-04 15:46:54,false,"Quebec Carrera","7.00","547","00:33:25","173","188","4.8","172","176","4:46","4:20","15","17","1.22","0.0","0.0","0.0","0.0","0.0","33:25","0:00","25.0","0:00","No","02:40.48","5","0.0"
Running,2020-06-01 15:10:11,false,"Quebec Carrera","5.09","347","00:25:01","152","174","3.3","170","178","4:55","3:41","10","9","1.20","0.0","0.0","0.0","0.0","0.0","25:01","0:00","19.0","0:00","No","01:32.11","4","0.0"
Running,2020-05-27 17:36:36,false,"Quebec Carrera","5.00","373","00:22:49","172","188","4.0","171","178","4:34","4:13","6","15","1.28","0.0","0.0","0.0","0.0","0.0","22:49","0:00","31.0","0:00","No","00:43.25","4","0.0"
Running,2020-05-21 11:05:34,false,"Quebec Carrera","5.50","405","00:33:04","140","155","2.3","168","176","6:00","5:12","7","43","0.99","0.0","0.0","0.0","0.0","0.0","33:04","0:00","25.0","0:00","No","04:02.54","4","0.0"
Running,2020-05-20 14:09:51,false,"Quebec Carrera","5.00","280","00:22:32","140","158","2.6","173","178","4:30","3:53","47","16","1.29","0.0","0.0","0.0","0.0","0.0","22:32","0:00","25.0","0:00","No","00:45.30","4","0.0"
